sample_id,env_group,depth,cells_per_ml,temperature,total_nitrogen,total_phosphorus,diss_org_carbon,chlorophyll,Proteobacteria,Actinobacteriota,Bacteroidota,Chloroflexi,Verrucomicrobiota,Cyanobacteria
May_12_B,Deep,102.8,2058864.2811420676,4.0738,465,3.78,2.478,0.05,0.4120985759743629,0.12889575951795265,0.08065717316242016,0.1946356435196678,0.1324953171898626,2.48245356683442e-4
May_12_E,Shallow_May,5,4696826.669122727,7.0127,465,4.39,2.38,2.53,0.3389293223354358,0.1861232411450752,0.23470807051593076,0.08086689309396733,0.10878214459000488,0.00957464014232573
May_12_M,Shallow_May,15,4808339.478471102,6.135,474,5.37,2.601,3.2,0.27620804982124325,0.28668838657594276,0.216598431553454,0.07032060892630608,0.09991638795986622,0.01262830123399838
May_17_E,Shallow_May,5,3738681.0732212756,5.9916,492,4.67,2.435,0.55,0.4351187991214858,0.19107690632203736,0.215762438059282,0.08498357323071895,0.05752091917303469,0.00128872996569437
May_29_B,Deep,27,2153085.800598664,4.66955,525,4.44,2.396,0.48,0.4100638943269583,0.2801239162704644,0.11036292838241936,0.13064991502269646,0.06055977454123013,0
May_29_E,Shallow_May,5,3124920.3343311073,5.9739,521,3.71,2.283,0.79,0.3622527403300996,0.2062492125488221,0.2798034521859645,0.0832304397127378,0.06269371298979463,4.535718785435303e-4
May_29_M,Shallow_May,19,2566155.5035689618,5.6855,539,4.23,2.334,0.44,0.31101941568728586,0.31002468408061007,0.20001473676454337,0.13638875584865345,0.03606823121983568,3.3157720222525146e-4
May_33_B,Deep,135,2293177.2696292885,3.8705,505,4.18,2.343,0.22,0.4034387089961311,0.16240268031142302,0.08615012431960217,0.16458187333800534,0.1366075628557989,2.399992320024576e-4
May_33_E,Shallow_May,5,5480858.582086114,7.9339,473,6.64,2.508,3.44,0.3012851920250254,0.20483925677458256,0.3168130252892625,0.05374439377379113,0.08463046018166057,0.01077902988731014
May_33_M,Shallow_May,20,3114433.4872208154,4.531549999999999,515,4.14,2.232,1.27,0.20776259681489864,0.340979897310939,0.19946044730658777,0.08768601514228527,0.11408928726829694,0.00374205900269776
May_35_B,Shallow_May,27,3066161.9696062626,6.5737,479,4.32,2.613,1.26,0.34336366541637936,0.15435722335290064,0.2773619497754531,0.07259515920138596,0.09701781238961868,7.06440381477806e-4
May_35_E,Shallow_May,5,5417617.2903522905,11.2276,441,8.98,2.567,3.96,0.2735302874913155,0.254507559466702,0.40546531246898465,0.01740166076686406,0.03086644390776458,1.654150263009892e-4
May_35_M,Shallow_May,10,4610370.219663827,11.0645,450,5.99,2.628,2.44,0.32643325199462614,0.16765826775971268,0.3595262248786772,0.03015929591752803,0.08049790255805665,4.6609820963452417e-4
May_38_E,Shallow_May,5,5811794.658070458,12.3816,416,8.27,2.692,3.32,0.4396651527295396,0.1752159586784219,0.3104016386143022,0.01643067058509217,0.03927331017900079,8.014961261020571e-4
May_38_M,Shallow_May,14,5432987.325811651,11.2724,449,8.66,2.692,4.84,0.25250630618976777,0.3217450358967725,0.3596468533730031,0.01691352435159433,0.03014035314662699,0.00187568721298751
May_41_B,Deep,127,2422141.47340548,3.7637,475,2.52,2.389,0.21,0.3554822095680245,0.2477603278807444,0.11214682093504044,0.16178230749700773,0.09602480867578252,2.7202495375575785e-4
May_41_E,Shallow_May,5,4044800.946120193,7.0363,435,5.46,2.437,2.84,0.27933322777066033,0.257740862830903,0.32158228850278536,0.06866372050842821,0.06207085174682233,0.00149707063582317
May_43_E,Shallow_May,5,2787019.7110292423,5.8797,499,5.48,2.498,0.56,0.3143624056640472,0.33910371119582977,0.24188905313934492,0.06508208200420135,0.03777328250213958,3.890142379211079e-5
May_48_B,Shallow_May,35,2300782.2350909505,4.7906,477,2.31,2.179,0.24,0.31180553327558375,0.38609943640583066,0.14595698717743055,0.08274246847829575,0.06960976183601227,4.277754606606992e-5
May_48_E,Shallow_May,5,4260221.599355284,6.80945,472,2.66,2.733,0.38,0.2261881135215181,0.3996763507014945,0.2217150359525518,0.0599361861288796,0.08856082927499503,1.2213181075675924e-4
May_55_B,Deep,189,1847686.398111904,3.6683,475,6.36,2.3,0.16,0.24230406043437216,0.18192364764602725,0.06191825171995146,0.2158370430325105,0.13568056117631191,7.554296506137865e-4
May_55_E,Shallow_May,5,4134619.5908358274,6.09525,468,5.44,3.416,4.96,0.3347266130572233,0.1400352209798222,0.2715410239545097,0.08094460121788208,0.10258640809658189,0.00984490038403598
May_55_M,Shallow_May,13,2583446.7934607416,5.0347,460,9.06,2.337,2.92,0.34162738429102774,0.1341169918650675,0.19225490781072857,0.12681743142987847,0.11458519800306304,0.00849294906219543
May_64_B,Deep,224,1631064.9608565508,3.6774,488,8.19,2.436,0.05,0.4198061111792859,0.15113160247532564,0.03825184509931104,0.2272145574391248,0.0949108567221219,2.4542888697999754e-4
May_64_E,Shallow_May,5,4079543.630439788,7.953,448,9.77,2.385,9.72,0.2991886641526682,0.14471488972688837,0.3727802536852931,0.05112558564735459,0.08476745514798309,0.00918752142612272
May_64_M,Shallow_May,14,3870687.2631821316,5.83795,476,7.89,2.348,5.8,0.2604852912399714,0.1718087535059683,0.3416606874959233,0.06780379622986106,0.09360120018263648,0.00903398343226143
May_66_E,Shallow_May,5,5262155.785862307,12.3324,489,5.54,2.803,2.06,0.4313813017883545,0.13930195575147164,0.3150684931506849,0.02050609602990821,0.06927433529559468,0.0014228719694222
May_717_E,Shallow_May,5,4197940.934837669,10.2099,477,3.43,2.198,0.44,0.3838429033059904,0.2080039771314939,0.3304996271439225,0.01948794432015908,0.02714392244593587,0.00323141933880188
May_74_B,Deep,66,2270042.164172231,4.8653,450,5.17,2.406,0.05,0.35780290021935296,0.17576996754374646,0.10400889321197804,0.1975365008784032,0.13158182052783593,2.481364949231273e-4
